method,k,split,item_pool,domain,accuracy,mae,nll,brier,rps,accuracy_std,mae_std,nll_std,brier_std,rps_std,n_seeds
direct_selected,5,test,unseen,Environment,0.18864468864468867,0.3816391941391941,1.9348384581677405,0.9243850255937593,0.19483280328162214,,,,,,1
direct_selected,5,test,unseen,Role of Government,0.2380952380952381,0.3821733821733822,1.9122342940623682,0.8927797491361846,0.21182206936891326,,,,,,1
direct_selected,5,test,unseen,Social Inequality,0.2612359550561798,0.33146067415730335,1.6947951913816504,0.8363534528641928,0.17589472621876692,,,,,,1
direct_selected,5,test,unseen,Work Orientations,0.2140151515151515,0.35511363636363635,1.9151690380328035,0.8887564476354392,0.18865536392425242,,,,,,1
direct_selected,5,test,unseen,macro,0.22549775832781452,0.362596721708379,1.8642592454111406,0.885568668807394,0.1928012406983887,,,,,,1
input_centric,5,test,unseen,Environment,0.31227106227106227,0.28113553113553114,1.7441103598078718,0.8059612980682891,0.17548108136072313,,,,,,1
input_centric,5,test,unseen,Role of Government,0.27472527472527475,0.32654151404151405,1.6846637324843998,0.8135034358005961,0.18817780960701827,,,,,,1
input_centric,5,test,unseen,Social Inequality,0.38857677902621723,0.22495318352059923,1.4535989757447252,0.7337082078667313,0.14286701180843256,,,,,,1
input_centric,5,test,unseen,Work Orientations,0.3418560606060606,0.2696496212121212,1.666937810049233,0.7922170902895619,0.1683730751895354,,,,,,1
input_centric,5,test,unseen,macro,0.3293572941571537,0.2755699624774414,1.6373277195215574,0.7863475080062946,0.16872474449142733,,,,,,1
input_centric_aligned,5,test,unseen,Environment,0.2435897435897436,0.3340201465201465,1.5735522053128514,0.7974264669450178,0.17194495578585728,,,,,,1
input_centric_aligned,5,test,unseen,Role of Government,0.27472527472527475,0.29594017094017094,1.598773194258118,0.8077935551671255,0.19238060330221513,,,,,,1
input_centric_aligned,5,test,unseen,Social Inequality,0.3670411985018726,0.23946629213483145,1.4746398876900875,0.7459047189084133,0.15130563501298194,,,,,,1
input_centric_aligned,5,test,unseen,Work Orientations,0.30303030303030304,0.2760416666666667,1.5478171965078418,0.7853866347296019,0.17100339856655516,,,,,,1
input_centric_aligned,5,test,unseen,macro,0.29709662996179853,0.2863670690654539,1.5486956209422247,0.7841278439375396,0.17165864816690238,,,,,,1
raw_final,5,test,unseen,Environment,0.2619047619047619,0.32074175824175827,2.3078167774941214,0.904975438323133,0.1992339587960339,,,,,,1
raw_final,5,test,unseen,Role of Government,0.2967032967032967,0.32455738705738707,1.931893894903541,0.8624020255680603,0.2069145646040574,,,,,,1
raw_final,5,test,unseen,Social Inequality,0.36423220973782766,0.22893258426966293,1.7927389886982383,0.7781190612457235,0.14840032646405366,,,,,,1
raw_final,5,test,unseen,Work Orientations,0.24431818181818182,0.3340435606060606,2.0288698745528824,0.8922161440023161,0.19032211587736592,,,,,,1
raw_final,5,test,unseen,macro,0.29178961254101704,0.30206882254371725,2.015329883912196,0.8594281672848082,0.18621774143537773,,,,,,1
raw_mean,5,test,unseen,Environment,0.24725274725274726,0.32142857142857145,1.6590246633813421,0.8158245908257394,0.18009221788207205,,,,,,1
raw_mean,5,test,unseen,Role of Government,0.2600732600732601,0.3249389499389499,1.6109998301415236,0.8129404633989844,0.1942266723200508,,,,,,1
raw_mean,5,test,unseen,Social Inequality,0.351123595505618,0.2406367041198502,1.5427563053709923,0.7647627068738511,0.15677141702529754,,,,,,1
raw_mean,5,test,unseen,Work Orientations,0.30492424242424243,0.2715435606060606,1.6278943136097508,0.8025270995512429,0.1725798781117309,,,,,,1
raw_mean,5,test,unseen,macro,0.29084346131396693,0.28963694652335803,1.6101687781259022,0.7990137151624545,0.17591754633478782,,,,,,1
raw_mean_aligned,5,test,unseen,Environment,0.28113553113553114,0.27129120879120877,1.5575271371191453,0.7797790080217046,0.1636747057606434,,,,,,1
raw_mean_aligned,5,test,unseen,Role of Government,0.28846153846153844,0.30784493284493286,1.4979604050891797,0.774174682211748,0.1818333374838346,,,,,,1
raw_mean_aligned,5,test,unseen,Social Inequality,0.3923220973782771,0.21067415730337077,1.551827529137896,0.7653640743672768,0.15377776156363954,,,,,,1
raw_mean_aligned,5,test,unseen,Work Orientations,0.293560606060606,0.27391098484848486,1.5867598321699348,0.79772162606446,0.17439835331104026,,,,,,1
raw_mean_aligned,5,test,unseen,macro,0.3138699432589882,0.2659303209469993,1.548518725879039,0.7792598476662973,0.16842103952978946,,,,,,1
raw_selected,5,test,unseen,Environment,0.24725274725274726,0.32142857142857145,1.6590246633813421,0.8158245908257394,0.18009221788207205,,,,,,1
raw_selected,5,test,unseen,Role of Government,0.2600732600732601,0.3249389499389499,1.6109998301415236,0.8129404633989844,0.1942266723200508,,,,,,1
raw_selected,5,test,unseen,Social Inequality,0.351123595505618,0.2406367041198502,1.5427563053709923,0.7647627068738511,0.15677141702529754,,,,,,1
raw_selected,5,test,unseen,Work Orientations,0.30492424242424243,0.2715435606060606,1.6278943136097508,0.8025270995512429,0.1725798781117309,,,,,,1
raw_selected,5,test,unseen,macro,0.29084346131396693,0.28963694652335803,1.6101687781259022,0.7990137151624545,0.17591754633478782,,,,,,1
respondent_vec,5,test,unseen,Environment,0.2518315018315018,0.3218864468864469,1.9318017776673864,0.8841705340904132,0.18916763464628955,,,,,,1
respondent_vec,5,test,unseen,Role of Government,0.2902930402930403,0.3237179487179487,1.552466685991629,0.7851451247618818,0.1870034599292058,,,,,,1
respondent_vec,5,test,unseen,Social Inequality,0.34831460674157305,0.2495318352059925,1.662765707411758,0.786347967939671,0.15890570246458155,,,,,,1
respondent_vec,5,test,unseen,Work Orientations,0.31155303030303033,0.2762784090909091,1.7359232679513241,0.8371568073470733,0.18119795405871272,,,,,,1
respondent_vec,5,test,unseen,macro,0.30049804479228637,0.2928536599753243,1.7207393597555245,0.8232051085347598,0.17906868777469742,,,,,,1
response_centric,5,test,unseen,Environment,0.2802197802197802,0.2992216117216117,1.5925485397779784,0.8013314427822388,0.16818753043781523,,,,,,1
response_centric,5,test,unseen,Role of Government,0.35073260073260076,0.29716117216117216,1.5580556193635313,0.7885410086215339,0.18269481950527403,,,,,,1
response_centric,5,test,unseen,Social Inequality,0.3726591760299625,0.23548689138576778,1.4222615145287962,0.7310321233289183,0.144926380260461,,,,,,1
response_centric,5,test,unseen,Work Orientations,0.29545454545454547,0.27485795454545453,1.5684864349290288,0.7831789880407926,0.16608703387512846,,,,,,1
response_centric,5,test,unseen,macro,0.32476652560922226,0.2766819074535015,1.5353380271498338,0.7760208906933709,0.16547394101966967,,,,,,1
response_centric_aligned,5,test,unseen,Environment,0.32967032967032966,0.2616758241758242,1.4983611998485402,0.7567223645108526,0.15319944230438923,,,,,,1
response_centric_aligned,5,test,unseen,Role of Government,0.3324175824175824,0.2628205128205128,1.4280467030687336,0.743425217208714,0.17073007357498005,,,,,,1
response_centric_aligned,5,test,unseen,Social Inequality,0.3595505617977528,0.23361423220973784,1.4319178363179348,0.7406684860212093,0.1437071497611741,,,,,,1
response_centric_aligned,5,test,unseen,Work Orientations,0.2869318181818182,0.2999526515151515,1.6439377415099885,0.8027063830959956,0.17251094701148675,,,,,,1
response_centric_aligned,5,test,unseen,macro,0.3271425730168708,0.2645158051803066,1.5005658701862994,0.7608806127091929,0.16003690316300753,,,,,,1
sentence,5,test,unseen,Environment,0.31043956043956045,0.28525641025641024,1.4686589330851463,0.7481972543834098,0.158289407435823,,,,,,1
sentence,5,test,unseen,Role of Government,0.3232600732600733,0.2876984126984127,1.476395567457239,0.7619118462045199,0.18026700247022934,,,,,,1
sentence,5,test,unseen,Social Inequality,0.42696629213483145,0.19967228464419473,1.358995934420454,0.6963787847506245,0.13945495435916624,,,,,,1
sentence,5,test,unseen,Work Orientations,0.35132575757575757,0.26207386363636365,1.4929515993610145,0.7549301361564104,0.16377149121209666,,,,,,1
sentence,5,test,unseen,macro,0.35299792085255566,0.25867524280884535,1.4492505085809635,0.7403545053737411,0.16044571386932882,,,,,,1
sentence_aligned,5,test,unseen,Environment,0.3141025641025641,0.2749542124542124,1.487777412615938,0.7564976454686674,0.1590773877963767,,,,,,1
sentence_aligned,5,test,unseen,Role of Government,0.27197802197802196,0.30494505494505497,1.7202426165505964,0.8282333915694805,0.19472553742176094,,,,,,1
sentence_aligned,5,test,unseen,Social Inequality,0.3670411985018726,0.24367977528089887,1.460939930308127,0.745556816176797,0.1539948446891968,,,,,,1
sentence_aligned,5,test,unseen,Work Orientations,0.3484848484848485,0.253314393939394,1.5340598335244373,0.7692383473466665,0.16958504127796406,,,,,,1
sentence_aligned,5,test,unseen,macro,0.32540165826682677,0.26922335915489004,1.5507549482497747,0.7748815501404028,0.16934570279632463,,,,,,1
